bjdtdb,flux,goodpoints,x,y
2458834.2674310068,104.98754166728584,1.0,14.92785901129821,14.988881990391285
2458834.2674541515,95.66592606587743,1.0,15.206914668558326,14.954027637377948
2458834.267477304,99.69506178276023,1.0,14.865799174389572,15.303395018597474
2458834.2675004518,93.37292507486258,1.0,14.83770390547092,14.613113164803476
2458834.267523602,78.36000440428174,1.0,14.930220004685932,15.431865184739877
2458834.267546753,118.01235175313721,1.0,15.252513433349922,15.173661880484797
2458834.267569901,81.35585738068396,1.0,15.012060961832212,14.918917739551716
2458834.2675930457,95.07599328558472,1.0,15.236099732827242,15.35847360589095
2458834.2676161984,110.45492919689397,1.0,15.111336745621518,15.124208980151408
2458834.267639347,98.37460888302934,1.0,14.981846307404638,14.839215638262147
2458834.267662494,99.59922453533726,1.0,15.123835264002924,15.278622659789669
2458834.2676856364,94.81902189540432,1.0,14.874496436204673,15.000429685543782
2458834.2677087886,100.68631774831817,1.0,14.920785826000248,15.139374287196937
2458834.267731937,75.85977952690212,1.0,14.850619068568143,14.998072738050038
2458834.2677550847,58.396732890831046,1.0,14.602793479204323,15.357702042368757
2458834.2677782397,94.39312957015514,1.0,14.929277790381299,14.599521558239559
2458834.2678013863,91.59403499464105,1.0,14.62095404235285,15.047888327815507
2458834.267824534,107.43614721107996,1.0,15.021363289215426,14.556535124019504
2458834.2678476768,64.49488402320434,1.0,15.12158645112072,15.267299353348953
2458834.2678708336,120.06846609768776,1.0,14.850156368442835,15.246993225692187
2458834.267893976,66.71838657340493,1.0,15.06712941188939,15.143149695153298
2458834.2679171297,111.8930311100045,1.0,14.908225446795523,15.024031889450683
2458834.2679402726,92.87757956402741,1.0,14.922989255006293,14.731142552906803
2458834.267963425,84.94738055722432,1.0,14.816338803968986,15.457154947492931
2458834.2679865677,111.60500192899445,1.0,15.079275470324625,15.217291992122064
2458834.2680097246,85.86852024022595,1.0,15.064608410547564,14.93951034432461
2458834.2680328656,78.95970690298346,1.0,15.05429814822164,15.007812770029133
2458834.268056017,97.98142818001315,1.0,15.003079104756306,15.159467751762826
2458834.268079166,87.95026415707265,1.0,15.106643897397039,14.850931277443056
2458834.268102311,88.08069757020726,1.0,15.292093936616531,15.113588569861832
2458834.2681254596,114.76224659313729,1.0,14.94649741546311,14.988894563913405
2458834.2681486146,76.42764105018739,1.0,15.331523121123233,14.626098797312142
2458834.268171762,95.2667995580936,1.0,15.336228354073778,15.06765474104282
2458834.2681949125,60.09788563958208,1.0,14.661210005790654,14.999999539443763
2458834.2682180563,92.33351280140128,1.0,15.367588395479185,15.116550089579434
2458834.268241207,87.07069596665904,1.0,14.604380653398326,14.90704236729841
2458834.2682643505,126.75896960327542,1.0,14.99979660601895,15.050159335327166
2458834.268287501,75.93496817574459,1.0,14.91459722840473,14.964710248766512
2458834.268310647,94.03508630741953,1.0,15.035148681018,14.8179452347879
2458834.268333797,98.7122084232224,1.0,14.881964640865498,14.940231942810328
2458834.2683569505,103.46578099478424,1.0,14.990049201044908,14.795210713839143
2458834.2683801,77.06944224453238,1.0,14.632938552915466,15.365330007492858
2458834.2684032395,105.07907793623608,1.0,14.98764657856551,14.562562131642082
2458834.268426391,85.77672219320051,1.0,14.959572000837806,15.422828627355013
2458834.2684495407,82.5240397509087,1.0,14.901762879360366,15.281294999871964
2458834.2684726873,97.6965974751748,1.0,15.328922602228996,14.911655659395464
2458834.2684958414,87.82621980861136,1.0,14.663006440764075,15.211099588882341
2458834.2685189913,56.60702172061129,1.0,14.947326483095097,14.869439227886403
2458834.268542138,103.25109678125125,1.0,15.403489666446962,15.234764956282067
2458834.2685652883,61.06917260290568,1.0,15.001671763441387,15.22283166339431
2458834.2685884302,106.52658798093904,1.0,15.340747405254035,15.286652458700459
2458834.268611585,70.23807403644786,1.0,15.123996421995756,14.69690163969863
2458834.268634728,78.09371915831254,1.0,14.63748036897372,14.640832111430072
2458834.2686578776,107.25235994973815,1.0,14.949749511098393,15.226623472865857
2458834.268681023,100.5519302833448,1.0,15.088165651178265,15.006377485923199
2458834.2687041787,85.50460277184344,1.0,15.324070287804936,15.071601504019782
2458834.268727322,110.50526491576757,1.0,15.000107269481713,15.301429778015237
2458834.268750468,89.82117672030283,1.0,15.06801961275199,15.11747718382648
2458834.2687736168,67.66693505295947,1.0,14.595228377468764,14.681334591435615
2458834.268796769,89.61383618576093,1.0,15.00004053814978,15.429036165322131
2458834.268837056,93.8151167855662,1.0,14.821791720014794,14.961186772078356
2458834.2688602065,101.37293571164359,1.0,14.84329332275939,14.838233896293925
2458834.2688833517,114.16602137026653,1.0,15.44019603066156,15.11511543867568
2458834.2689065086,102.99599385381676,1.0,14.968965630400486,15.037821998724262
2458834.2689296594,85.04881339945868,1.0,15.372737925197171,15.087864662796587
